image_name,image_kb,hex,r,g,b,chroma,model,temperature,status,response_raw,response_hex,response_r,response_g,response_b,error_cromatic,elapsed_seconds,executed_at,error_message
942A08.png,0.28,942A08,148,42,8,0.4550535687340216,gpt-4o,0.2,ok,#8B2E14,8B2E14,139,46,20,15.524174696260024,1.0837054252624512,2026-04-25T17:31:38,
942A08.png,0.28,942A08,148,42,8,0.4550535687340216,gpt-4o-mini,0.2,ok,#7C3B2A,7C3B2A,124,59,42,44.955533585978046,1.802997350692749,2026-04-25T17:31:40,
9DD8C2.png,0.29,9DD8C2,157,216,194,0.1785957046226835,gpt-4o,0.2,ok,#96D9C6,96D9C6,150,217,198,8.12403840463596,2.648669719696045,2026-04-25T17:33:15,
9DD8C2.png,0.29,9DD8C2,157,216,194,0.1785957046226835,gpt-4o-mini,0.2,ok,#A8E0D4,A8E0D4,168,224,212,22.56102834535696,2.5944149494171143,2026-04-25T17:33:17,
B74262.png,0.28,B74262,183,66,98,0.37631676425082283,gpt-4o,0.2,ok,#C42C54,C42C54,196,44,84,29.13760456866693,1.5382158756256104,2026-04-25T17:36:53,
B74262.png,0.28,B74262,183,66,98,0.37631676425082283,gpt-4o-mini,0.2,ok,#A94D6D,A94D6D,169,77,109,20.92844953645635,0.8636364936828613,2026-04-25T17:36:54,
88E307.png,0.28,88E307,136,227,7,0.7198172668937493,gpt-4o,0.2,ok,#9ACD32,9ACD32,154,205,50,51.54609587543949,1.021026611328125,2026-04-25T17:29:53,
88E307.png,0.28,88E307,136,227,7,0.7198172668937493,gpt-4o-mini,0.2,ok,#A8D300,A8D300,168,211,0,36.45545226711637,1.705897092819214,2026-04-25T17:29:55,
71E80C.png,0.28,71E80C,113,232,12,0.7573013658251897,gpt-4o,0.2,ok,#7FFF00,7FFF00,127,255,0,29.478805945967352,1.0067832469940186,2026-04-25T17:26:36,
71E80C.png,0.28,71E80C,113,232,12,0.7573013658251897,gpt-4o-mini,0.2,ok,#00FF00,00FF00,0,255,0,115.93963946813014,0.9728295803070068,2026-04-25T17:26:37,
362BFF.png,0.28,362BFF,54,43,255,0.9064860883194124,gpt-4o,0.2,ok,#3F00FF,3F00FF,63,0,255,43.93176527297759,1.068409442901611,2026-04-25T17:15:57,
362BFF.png,0.28,362BFF,54,43,255,0.9064860883194124,gpt-4o-mini,0.2,ok,#4B0082,4B0082,75,0,130,133.84692749555367,1.2411210536956787,2026-04-25T17:15:58,
D70ADC.png,0.29,D70ADC,215,10,220,0.7669474150923685,gpt-4o,0.2,ok,#ff00ff,FF00FF,255,0,255,54.08326913195984,1.0267152786254885,2026-04-25T17:40:44,
D70ADC.png,0.29,D70ADC,215,10,220,0.7669474150923685,gpt-4o-mini,0.2,ok,#FF00FF,FF00FF,255,0,255,54.08326913195984,1.174164056777954,2026-04-25T17:40:45,
B71D69.png,0.28,B71D69,183,29,105,0.4714523579528935,gpt-4o,0.2,ok,#C3007F,C3007F,195,0,127,38.3275357934736,1.429738998413086,2026-04-25T17:36:51,
B71D69.png,0.28,B71D69,183,29,105,0.4714523579528935,gpt-4o-mini,0.2,ok,#A500B5,A500B5,165,0,181,83.31266410336426,0.9019968509674072,2026-04-25T17:36:52,
12BC58.png,0.28,12BC58,18,188,88,0.5422879032454752,gpt-4o,0.2,ok,#00D943,00D943,0,217,67,40.07492981902776,1.1554791927337646,2026-04-25T17:09:59,
12BC58.png,0.28,12BC58,18,188,88,0.5422879032454752,gpt-4o-mini,0.2,ok,#00B300,00B300,0,179,0,90.27181176868004,1.0820298194885254,2026-04-25T17:10:00,
6EB9BC.png,0.28,6EB9BC,110,185,188,0.18049339233459324,gpt-4o,0.2,ok,#6EC5C7,6EC5C7,110,197,199,16.278820596099706,0.974740982055664,2026-04-25T17:25:43,
6EB9BC.png,0.28,6EB9BC,110,185,188,0.18049339233459324,gpt-4o-mini,0.2,ok,#6BC4C5,6BC4C5,107,196,197,14.52583904633395,0.871431827545166,2026-04-25T17:25:44,
90A02B.png,0.28,90A02B,144,160,43,0.4435889055314774,gpt-4o,0.2,ok,#9AAE02,9AAE02,154,174,2,44.46346815083142,1.0988831520080566,2026-04-25T17:31:03,
90A02B.png,0.28,90A02B,144,160,43,0.4435889055314774,gpt-4o-mini,0.2,ok,#8A9A5B,8A9A5B,138,154,91,48.744230427815765,0.955934762954712,2026-04-25T17:31:04,
F25AF7.png,0.29,F25AF7,242,90,247,0.6857777591196469,gpt-4o,0.2,ok,#D147E0,D147E0,209,71,224,44.48595283907045,1.0177996158599854,2026-04-25T17:44:41,
F25AF7.png,0.29,F25AF7,242,90,247,0.6857777591196469,gpt-4o-mini,0.2,ok,#FF00FF,FF00FF,255,0,255,91.28526715741155,0.9059715270996094,2026-04-25T17:44:42,
E5535D.png,0.28,E5535D,229,83,93,0.4673828087821043,gpt-4o,0.2,ok,#E05C5C,E05C5C,224,92,92,10.3440804327886,1.1294305324554443,2026-04-25T17:43:03,
E5535D.png,0.28,E5535D,229,83,93,0.4673828087821043,gpt-4o-mini,0.2,ok,#E76B6B,E76B6B,231,107,107,27.85677655436824,0.9770238399505616,2026-04-25T17:43:04,
5BA564.png,0.28,5BA564,91,165,100,0.3421090656548074,gpt-4o,0.2,ok,#5CAC5C,5CAC5C,92,172,92,10.677078252031311,1.0472404956817627,2026-04-25T17:22:43,
5BA564.png,0.28,5BA564,91,165,100,0.3421090656548074,gpt-4o-mini,0.2,ok,#4CAF50,4CAF50,76,175,80,26.92582403567252,0.9129905700683594,2026-04-25T17:22:44,
3A2A32.png,0.29,3A2A32,58,42,50,0.06944047458146752,gpt-4o,0.2,ok,#3C2A35,3C2A35,60,42,53,3.605551275463989,1.0071680545806885,2026-04-25T17:16:48,
3A2A32.png,0.29,3A2A32,58,42,50,0.06944047458146752,gpt-4o-mini,0.2,ok,#3B2A2A,3B2A2A,59,42,42,8.06225774829855,1.0919337272644043,2026-04-25T17:16:50,
DA138D.png,0.28,DA138D,218,19,141,0.57868008443261,gpt-4o,0.2,ok,#E4007F,E4007F,228,0,127,25.632011235952596,1.003960132598877,2026-04-25T17:41:11,
DA138D.png,0.28,DA138D,218,19,141,0.57868008443261,gpt-4o-mini,0.2,ok,#FF00B3,FF00B3,255,0,179,56.3382640840131,0.9032654762268066,2026-04-25T17:41:12,
