image_name,image_kb,hex,r,g,b,chroma,model,temperature,status,response_raw,response_hex,response_r,response_g,response_b,error_cromatic,elapsed_seconds,executed_at,error_message
F25AF7.png,20.57,F25AF7,242,90,247,0.6857777591196469,gpt-5,,ok,"{""r"": 217, ""g"": 117, ""b"": 214}",D975D6,217,117,214,49.42671342502959,2.6459977626800537,2026-04-25T20:07:52,
F25AF7.png,20.57,F25AF7,242,90,247,0.6857777591196469,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,261.2680615766114,1.3173742294311523,2026-04-25T20:07:53,
E5535D.png,21.05,E5535D,229,83,93,0.4673828087821043,gpt-5,,ok,"{""r"": 233, ""g"": 104, ""b"": 107}",E9686B,233,104,107,25.553864678361276,1.5152716636657717,2026-04-25T20:07:42,
E5535D.png,21.05,E5535D,229,83,93,0.4673828087821043,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,124.36639417463223,1.2709715366363523,2026-04-25T20:07:44,
7F5428.png,21.06,7F5428,127,84,40,0.2615458314584978,gpt-5,,ok,"{""r"": 141, ""g"": 96, ""b"": 45}",8D602D,141,96,45,19.1049731745428,1.7089776992797852,2026-04-25T20:06:26,
7F5428.png,21.06,7F5428,127,84,40,0.2615458314584978,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,56.824290580701486,2.3077549934387207,2026-04-25T20:06:29,
14A1DA.png,20.68,14A1DA,20,161,218,0.3057165746115213,gpt-5,,ok,"{""r"": 63, ""g"": 169, ""b"": 207}",3FA9CF,63,169,207,45.09988913511872,2.625229835510254,2026-04-25T20:05:33,
14A1DA.png,20.68,14A1DA,20,161,218,0.3057165746115213,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,273.2123716086078,1.3973228931427002,2026-04-25T20:05:34,
97AD0B.png,20.89,97AD0B,151,173,11,0.5375979653342325,gpt-5,,ok,"{""r"": 154, ""g"": 171, ""b"": 41}",9AAB29,154,171,41,30.215889859476256,1.4021944999694824,2026-04-25T20:06:51,
97AD0B.png,20.89,97AD0B,151,173,11,0.5375979653342325,gpt-5-mini,,ok,"{""r"":148,""g"":169,""b"":24}",94A918,148,169,24,13.92838827718412,1.1388983726501465,2026-04-25T20:06:52,
12878B.png,20.8,12878B,18,135,139,0.22199718298384258,gpt-5,,ok,"{""r"": 21, ""g"": 129, ""b"": 133}",158185,21,129,133,9.0,2.3568248748779297,2026-04-25T20:05:27,
12878B.png,20.8,12878B,18,135,139,0.22199718298384258,gpt-5-mini,,ok,"{""r"":24,""g"":164,""b"":147}",18A493,24,164,147,30.675723300355934,3.186936378479004,2026-04-25T20:05:30,
D404FE.png,19.41,D404FE,212,4,254,0.8711577642012196,gpt-5,,ok,"{""r"": 208, ""g"": 61, ""b"": 212}",D03DD4,208,61,212,70.9154426059656,2.1570608615875244,2026-04-25T20:07:17,
D404FE.png,19.41,D404FE,212,4,254,0.8711577642012196,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,257.01361831622853,1.0245404243469238,2026-04-25T20:07:18,
31424E.png,21.08,31424E,49,66,78,0.07469957535241846,gpt-5,,ok,"{""r"": 46, ""g"": 58, ""b"": 68}",2E3A44,46,58,68,13.152946437965905,1.3802828788757324,2026-04-25T20:05:38,
31424E.png,21.08,31424E,49,66,78,0.07469957535241846,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,123.60016181219181,1.011910915374756,2026-04-25T20:05:39,
D97D2F.png,20.95,D97D2F,217,125,47,0.4696016465872648,gpt-5,,ok,"{""r"": 206, ""g"": 129, ""b"": 63}",CE813F,206,129,63,19.82422760159901,1.706695318222046,2026-04-25T20:07:20,
D97D2F.png,20.95,D97D2F,217,125,47,0.4696016465872648,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,114.76497723608888,1.4407291412353516,2026-04-25T20:07:22,
6C240A.png,20.72,6C240A,108,36,10,0.33262326543331655,gpt-5,,ok,"{""r"": 142, ""g"": 58, ""b"": 29}",8E3A1D,142,58,29,44.73253849269008,2.593153238296509,2026-04-25T20:06:13,
6C240A.png,20.72,6C240A,108,36,10,0.33262326543331655,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,40.496913462633174,1.2549302577972412,2026-04-25T20:06:15,
FE78D4.png,20.55,FE78D4,254,120,212,0.49208853408746367,gpt-5,,ok,"{""r"": 232, ""g"": 130, ""b"": 190}",E882BE,232,130,190,32.68026927673638,1.717315435409546,2026-04-25T20:08:07,
FE78D4.png,20.55,FE78D4,254,120,212,0.49208853408746367,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,242.76737836867622,1.2310585975646973,2026-04-25T20:08:08,
BF0577.png,20.61,BF0577,191,5,119,0.5269784252424434,gpt-5,,ok,"{""r"": 205, ""g"": 35, ""b"": 130}",CD2382,205,35,130,34.88552708502482,1.876389980316162,2026-04-25T20:06:59,
BF0577.png,20.61,BF0577,191,5,119,0.5269784252424434,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,124.65552534885889,1.192101240158081,2026-04-25T20:07:01,
8CE8EB.png,20.87,8CE8EB,140,232,235,0.21280937997161015,gpt-5,,ok,"{""r"": 146, ""g"": 224, ""b"": 226}",92E0E2,146,224,226,13.45362404707371,5.348637819290161,2026-04-25T20:06:43,
8CE8EB.png,20.87,8CE8EB,140,232,235,0.21280937997161015,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,296.13003900313794,1.1377325057983398,2026-04-25T20:06:44,
C9B07E.png,21.01,C9B07E,201,176,126,0.21681276519761422,gpt-5,,ok,"{""r"": 202, ""g"": 176, ""b"": 124}",CAB07C,202,176,124,2.23606797749979,2.059742927551269,2026-04-25T20:07:11,
C9B07E.png,21.01,C9B07E,201,176,126,0.21681276519761422,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,186.24983221468952,1.2492082118988037,2026-04-25T20:07:13,
F47C38.png,20.75,F47C38,244,124,56,0.521725846566315,gpt-5,,ok,"{""r"": 227, ""g"": 131, ""b"": 77}",E3834D,227,131,77,27.910571473905726,2.979501247406006,2026-04-25T20:07:56,
F47C38.png,20.75,F47C38,244,124,56,0.521725846566315,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,135.07035203922436,1.3854546546936035,2026-04-25T20:07:57,
DB57F3.png,20.87,DB57F3,219,87,243,0.6750856590021705,gpt-5,,ok,"{""r"": 205, ""g"": 120, ""b"": 205}",CD78CD,205,120,205,52.23983154643591,1.858618974685669,2026-04-25T20:07:26,
DB57F3.png,20.87,DB57F3,219,87,243,0.6750856590021705,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,249.58164996649893,1.3193073272705078,2026-04-25T20:07:27,
4C57A9.png,21.03,4C57A9,76,87,169,0.37197258506144915,gpt-5,,ok,"{""r"": 97, ""g"": 101, ""b"": 159}",61659F,97,101,159,27.147743920996454,1.921499729156494,2026-04-25T20:05:52,
4C57A9.png,21.03,4C57A9,76,87,169,0.37197258506144915,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,182.0164827701052,1.0722615718841553,2026-04-25T20:05:53,
8CFCF2.png,20.38,8CFCF2,140,252,242,0.2602701162359614,gpt-5,,ok,"{""r"": 156, ""g"": 244, ""b"": 243}",9CF4F3,156,244,243,17.916472867168917,1.3773212432861328,2026-04-25T20:06:45,
8CFCF2.png,20.38,8CFCF2,140,252,242,0.2602701162359614,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,314.5155004129367,1.315901279449463,2026-04-25T20:06:47,
2CF0BC.png,20.89,2CF0BC,44,240,188,0.44127815456336056,gpt-5,,ok,"{""r"": 74, ""g"": 219, ""b"": 190}",4ADBBE,74,219,190,36.6742416417845,1.473743200302124,2026-04-25T20:05:36,
2CF0BC.png,20.89,2CF0BC,44,240,188,0.44127815456336056,gpt-5-mini,,ok,"{""r"":22,""g"":222,""b"":188}",16DEBC,22,222,188,28.42534080710379,1.2938127517700195,2026-04-25T20:05:37,
C7DBE4.png,20.76,C7DBE4,199,219,228,0.061753270495111943,gpt-5,,ok,"{""r"": 205, ""g"": 232, ""b"": 241}",CDE8F1,205,232,241,19.339079605813716,1.6326565742492676,2026-04-25T20:07:08,
C7DBE4.png,20.76,C7DBE4,199,219,228,0.061753270495111943,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,286.93204770467867,1.1241586208343506,2026-04-25T20:07:09,
C3EBA4.png,20.85,C3EBA4,195,235,164,0.2953058595463686,gpt-5,,ok,"{""r"": 200, ""g"": 240, ""b"": 200}",C8F0C8,200,240,200,36.68787265568828,2.1541683673858643,2026-04-25T20:07:03,
C3EBA4.png,20.85,C3EBA4,195,235,164,0.2953058595463686,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,252.57474141330917,1.192479372024536,2026-04-25T20:07:04,
74FD88.png,20.58,74FD88,116,253,136,0.5654827087604202,gpt-5,,ok,"{""r"": 166, ""g"": 236, ""b"": 173}",A6ECAD,166,236,173,64.48255578061404,1.7557330131530762,2026-04-25T20:06:19,
74FD88.png,20.58,74FD88,116,253,136,0.5654827087604202,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,248.85537968868584,1.5089707374572754,2026-04-25T20:06:21,
4D9B2D.png,20.86,4D9B2D,77,155,45,0.48731774316400717,gpt-5,,ok,"{""r"": 103, ""g"": 163, ""b"": 60}",67A33C,103,163,60,31.064449134018133,1.5688674449920654,2026-04-25T20:05:54,
4D9B2D.png,20.86,4D9B2D,77,155,45,0.48731774316400717,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,138.4882666510055,1.477304220199585,2026-04-25T20:05:56,
F7D00D.png,20.53,F7D00D,247,208,13,0.6268278509713909,gpt-5,,ok,"{""r"": 230, ""g"": 200, ""b"": 40}",E6C828,230,200,40,32.89376840679705,3.372819662094116,2026-04-25T20:08:01,
F7D00D.png,20.53,F7D00D,247,208,13,0.6268278509713909,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,193.34425256521075,1.2382934093475342,2026-04-25T20:08:02,
50FE84.png,20.81,50FE84,80,254,132,0.6191305517324184,gpt-5,,ok,"{""r"": 120, ""g"": 235, ""b"": 165}",78EBA5,120,235,165,55.226805085936306,1.8625884056091309,2026-04-25T20:06:00,
50FE84.png,20.81,50FE84,80,254,132,0.6191305517324184,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,254.8411269791436,1.2523655891418457,2026-04-25T20:06:01,
4C0894.png,20.86,4C0894,76,8,148,0.6040353469995271,gpt-5,,ok,"{""r"": 68, ""g"": 24, ""b"": 114}",441872,68,24,114,38.41874542459709,2.639148712158203,2026-04-25T20:05:46,
4C0894.png,20.86,4C0894,76,8,148,0.6040353469995271,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,161.05899540230592,1.238229513168335,2026-04-25T20:05:47,
4F5365.png,20.99,4F5365,79,83,101,0.08420454500296218,gpt-5,,ok,"{""r"": 86, ""g"": 88, ""b"": 95}",56585F,86,88,95,10.488088481701515,1.488681077957153,2026-04-25T20:05:57,
4F5365.png,20.99,4F5365,79,83,101,0.08420454500296218,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,122.84543133547946,1.078524112701416,2026-04-25T20:05:58,
E485BA.png,21.06,E485BA,228,133,186,0.33512838034167375,gpt-5,,ok,"{""r"": 212, ""g"": 126, ""b"": 166}",D47EA6,212,126,166,26.551836094703507,1.39333176612854,2026-04-25T20:07:38,
E485BA.png,21.06,E485BA,228,133,186,0.33512838034167375,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,215.32533524878116,2.779876232147217,2026-04-25T20:07:41,
00F4D0.png,20.07,00F4D0,0,244,208,0.42218486075803985,gpt-5,,ok,"{""r"": 33, ""g"": 216, ""b"": 199}",21D8C7,33,216,199,44.204072210600685,4.847175598144531,2026-04-25T20:05:22,
00F4D0.png,20.07,00F4D0,0,244,208,0.42218486075803985,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,320.4808886657674,2.4788272380828857,2026-04-25T20:05:25,
DA0A69.png,20.75,DA0A69,218,10,105,0.5550079953718313,gpt-5,,ok,"{""r"": 214, ""g"": 38, ""b"": 120}",D62678,214,38,120,32.01562118716424,1.3572945594787598,2026-04-25T20:07:23,
DA0A69.png,20.75,DA0A69,218,10,105,0.5550079953718313,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,123.82649151130786,1.2005395889282229,2026-04-25T20:07:24,
57A19A.png,20.98,57A19A,87,161,154,0.1873531718286824,gpt-5,,ok,"{""r"": 103, ""g"": 154, ""b"": 144}",679A90,103,154,144,20.12461179749811,2.169944524765014,2026-04-25T20:06:04,
57A19A.png,20.98,57A19A,87,161,154,0.1873531718286824,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,197.9848479050859,1.1161823272705078,2026-04-25T20:06:05,
A8FDF0.png,20.54,A8FDF0,168,253,240,0.21275089267598835,gpt-5,,ok,"{""r"": 187, ""g"": 245, ""b"": 239}",BBF5EF,187,245,239,20.639767440550294,1.271850347518921,2026-04-25T20:06:56,
A8FDF0.png,20.54,A8FDF0,168,253,240,0.21275089267598835,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,314.2371715758656,1.2486333847045898,2026-04-25T20:06:57,
E05C6A.png,21.02,E05C6A,224,92,106,0.41730816182638875,gpt-5,,ok,"{""r"": 226, ""g"": 111, ""b"": 121}",E26F79,226,111,121,24.289915602982237,3.793277978897095,2026-04-25T20:07:31,
E05C6A.png,21.02,E05C6A,224,92,106,0.41730816182638875,gpt-5-mini,,ok,"{""r"":148,""g"":42,""b"":8}",942A08,148,42,8,133.71611720357424,1.4599928855895996,2026-04-25T20:07:33,
