image_name,model,temperature,status,response_raw,response_hex,error_message,elapsed_seconds,executed_at
00C859.png,gpt-4o,0.2,ok,#00D943,00D943,,3.329016923904419,2026-04-25T17:06:02
00C859.png,gpt-4o-mini,0.2,ok,#00FF00,00FF00,,2.038672924041748,2026-04-25T17:06:04
00C895.png,gpt-4o,0.2,ok,#17D2A6,17D2A6,,1.6489369869232178,2026-04-25T17:06:06
00C895.png,gpt-4o-mini,0.2,ok,#00B2A9,00B2A9,,0.9870855808258057,2026-04-25T17:06:07
00EEAA.png,gpt-4o,0.2,ok,#17EBA0,17EBA0,,2.0014586448669434,2026-04-25T17:06:09
00EEAA.png,gpt-4o-mini,0.2,ok,#00FFCC,00FFCC,,36.731300830841064,2026-04-25T17:06:45
00F4D0.png,gpt-4o,0.2,ok,#17EBCF,17EBCF,,0.8548998832702637,2026-04-25T17:06:46
00F4D0.png,gpt-4o-mini,0.2,ok,#00FFFF,00FFFF,,1.0978500843048096,2026-04-25T17:06:47
010E7C.png,gpt-4o,0.2,ok,#000080,000080,,0.994837760925293,2026-04-25T17:06:48
010E7C.png,gpt-4o-mini,0.2,ok,#00008B,00008B,,1.403984785079956,2026-04-25T17:06:50
014F70.png,gpt-4o,0.2,ok,#0A5C6B,0A5C6B,,1.2950685024261475,2026-04-25T17:06:51
014F70.png,gpt-4o-mini,0.2,ok,#005B5B,005B5B,,1.253612756729126,2026-04-25T17:06:52
015940.png,gpt-4o,0.2,ok,#005F4F,005F4F,,1.2384989261627197,2026-04-25T17:06:54
015940.png,gpt-4o-mini,0.2,ok,#005B5B,005B5B,,1.0953834056854248,2026-04-25T17:06:55
015CBE.png,gpt-4o,0.2,ok,#0072C6,0072C6,,0.9894137382507324,2026-04-25T17:06:56
015CBE.png,gpt-4o-mini,0.2,ok,#0000FF,0000FF,,1.1028218269348145,2026-04-25T17:06:57
019276.png,gpt-4o,0.2,ok,#008C72,008C72,,1.0564637184143066,2026-04-25T17:06:58
019276.png,gpt-4o-mini,0.2,ok,#008C7A,008C7A,,4.675045967102051,2026-04-25T17:07:02
01985E.png,gpt-4o,0.2,ok,#00945E,00945E,,1.0675222873687744,2026-04-25T17:07:04
01985E.png,gpt-4o-mini,0.2,ok,#009B77,009B77,,2.581817388534546,2026-04-25T17:07:06
01AE80.png,gpt-4o,0.2,ok,#00A885,00A885,,1.4509613513946533,2026-04-25T17:07:08
01AE80.png,gpt-4o-mini,0.2,ok,#00B2A9,00B2A9,,0.9544832706451416,2026-04-25T17:07:09
01C8C3.png,gpt-4o,0.2,ok,#00C5C5,00C5C5,,1.4103739261627197,2026-04-25T17:07:10
01C8C3.png,gpt-4o-mini,0.2,ok,#00B2B2,00B2B2,,0.9617314338684082,2026-04-25T17:07:11
01CEE6.png,gpt-4o,0.2,ok,#00CFFF,00CFFF,,1.1170473098754883,2026-04-25T17:07:12
01CEE6.png,gpt-4o-mini,0.2,ok,#00BFFF,00BFFF,,0.9836826324462891,2026-04-25T17:07:13
01FAB2.png,gpt-4o,0.2,ok,#17EBA0,17EBA0,,1.6100349426269531,2026-04-25T17:07:15
01FAB2.png,gpt-4o-mini,0.2,ok,#00FFCC,00FFCC,,1.00239896774292,2026-04-25T17:07:16
02ADC1.png,gpt-4o,0.2,ok,#00B2CC,00B2CC,,1.2143843173980713,2026-04-25T17:07:17
02ADC1.png,gpt-4o-mini,0.2,ok,#00B2B2,00B2B2,,1.2253718376159668,2026-04-25T17:07:18
02BCC0.png,gpt-4o,0.2,ok,#00B7C3,00B7C3,,1.0679066181182861,2026-04-25T17:07:19
02BCC0.png,gpt-4o-mini,0.2,ok,#00B2B2,00B2B2,,1.0271925926208496,2026-04-25T17:07:20
02CA54.png,gpt-4o,0.2,ok,#00D943,00D943,,1.302074909210205,2026-04-25T17:07:21
02CA54.png,gpt-4o-mini,0.2,ok,#00FF00,00FF00,,0.8178832530975342,2026-04-25T17:07:22
031284.png,gpt-4o,0.2,ok,#000080,000080,,3.124577283859253,2026-04-25T17:07:25
031284.png,gpt-4o-mini,0.2,ok,#00008B,00008B,,0.9809834957122803,2026-04-25T17:07:26
0400B4.png,gpt-4o,0.2,ok,#0000FF,0000FF,,1.103623867034912,2026-04-25T17:07:28
0400B4.png,gpt-4o-mini,0.2,ok,#0000FF,0000FF,,0.9387063980102539,2026-04-25T17:07:28
0484E1.png,gpt-4o,0.2,ok,#0089D6,0089D6,,1.3237113952636719,2026-04-25T17:07:30
0484E1.png,gpt-4o-mini,0.2,ok,#007BFF,007BFF,,1.1637217998504639,2026-04-25T17:07:31
055A5A.png,gpt-4o,0.2,ok,#0F6C6B,0F6C6B,,0.9956660270690918,2026-04-25T17:07:32
055A5A.png,gpt-4o-mini,0.2,ok,#007B7F,007B7F,,1.020829439163208,2026-04-25T17:07:33
0570F3.png,gpt-4o,0.2,ok,#0078FF,0078FF,,1.8018817901611328,2026-04-25T17:07:35
0570F3.png,gpt-4o-mini,0.2,ok,#007BFF,007BFF,,1.9809527397155762,2026-04-25T17:07:37
05E287.png,gpt-4o,0.2,ok,#1EDC82,1EDC82,,0.9158816337585449,2026-04-25T17:07:38
